City_ID,City,Country,Lat,Lng,Max Temp,Current_Description,Hotel Name
323,Vardo,NO,70.3705,31.1107,61.0,clear sky,Vardø Hotel AS
325,Tiksi,RU,71.6872,128.8694,47.55,overcast clouds,Arktika
326,Wewak,PG,-3.5534,143.6268,77.38,overcast clouds,In Wewak Boutique Hotel
330,Telma,RU,52.6983,103.7097,47.41,clear sky,"Hotel ""Herringbone"""
332,Vyazniki,RU,56.25,42.1667,49.62,clear sky,Motel' Vstrecha
333,Arrah,IN,25.5667,84.6667,76.89,scattered clouds,SPOT ON 48440 Ara Exotica SPOT
336,Esperance,AU,-33.8667,121.9,55.24,broken clouds,Hospitality Esperance
337,Chifeng,CN,42.2683,118.9636,52.88,clear sky,Junyu Tiancheng Hotel
338,Klyuchi,RU,52.2667,79.1667,67.98,clear sky,Vesolaya Mayovka
339,Wellington,NZ,-41.2866,174.7756,48.56,broken clouds,CityLife Wellington
340,Orissaare,EE,58.5592,23.0826,62.55,overcast clouds,Vanatoa Tourism Farm
341,Stykkisholmur,IS,65.0757,-22.7297,46.17,scattered clouds,Fosshótel Stykkishólmur
342,Soyo,AO,-6.1349,12.3689,76.66,clear sky,Hotel Mpampa
344,Nome,US,64.5011,-165.4064,44.17,overcast clouds,Dredge 7 Inn
346,Kargat,RU,55.1956,80.2811,53.13,few clouds,Kargat
347,Port Augusta,AU,-32.5,137.7667,51.94,clear sky,Majestic Oasis Apartments
348,Rio Grande,BR,-32.035,-52.0986,69.91,clear sky,Hotel Atlântico Rio Grande
350,Klaksvik,FO,62.2266,-6.5889999999999995,50.92,overcast clouds,Airbnb rooms
351,Broome,US,42.2506,-75.833,69.1,light rain,Chenango Valley State Park
352,Biskamzha,RU,53.4497,89.5272,55.6,light rain,
354,Nizhniy Baskunchak,RU,48.2198,46.8311,65.73,heavy intensity rain,Arman hotel
355,At-Bashi,KG,41.1702,75.8106,57.22,overcast clouds,Hostel At-Bashy
357,Yulara,AU,-25.2406,130.9889,48.04,overcast clouds,Desert Gardens Hotel - Ayers Rock Resort
358,Kodinsk,RU,58.6881,99.1844,56.32,clear sky,
362,Yeppoon,AU,-23.1333,150.7333,62.38,clear sky,Villa Mar Colina
363,Hovd,MN,48.0056,91.6419,62.44,broken clouds,Hotel Khovd
364,Bobcaygeon,CA,44.5462,-78.542,74.48,scattered clouds,The Bobcaygeon Inn
366,Huilong,CN,31.8111,121.655,73.04,overcast clouds,Hilton Garden Inn Qidong
367,Henties Bay,,-22.116,14.2845,65.43,clear sky,Fishermans Guest House
368,Xining,CN,36.6167,101.7667,52.16,overcast clouds,Super Leisure Hotel
370,Maningrida,AU,-12.0667,134.2667,69.98,scattered clouds,Dhukurrdji Lodge
371,Huzhou,CN,30.8703,120.0933,75.97,overcast clouds,Huzhou Plaza Hotel
372,Trenggalek,ID,-8.05,111.7167,74.17,scattered clouds,OYO 2966 Hotel Atriaz
373,Saint-Leu,RE,-21.15,55.2833,74.26,overcast clouds,La Caz Oceane
374,Arroyo,ES,41.6096,-4.7969,74.19,clear sky,Hotel El Jardín de la Abadía
375,Faya,SA,18.3851,42.4509,77.52,broken clouds,مقبرة ال مجمل
376,Strezhevoy,RU,60.7333,77.5889,42.78,clear sky,Sibiryachka
377,Genhe,CN,50.7833,121.5167,43.84,light rain,Companionship Hotel
379,Stanghelle,NO,60.5528,5.7357,69.84,overcast clouds,Salmon Paradise
380,Codrington,AU,-38.2667,141.9667,49.1,scattered clouds,Codrington Gardens Bed And Breakfast
382,Maragogi,BR,-9.0122,-35.2225,79.25,clear sky,Salinas do Maragogi All Inclusive Resort
383,Northam,GB,51.0333,-4.2167,66.15,overcast clouds,Durrant House Hotel
384,Oranjemund,,-28.55,16.4333,59.11,clear sky,The Fisherman's Cove
386,Kokopo,PG,-4.352,152.2633,76.17,broken clouds,Kokopo Beach Bungalow Resort
387,Toora-Khem,RU,52.4675,96.11,48.58,overcast clouds,
389,Imatra,FI,61.1719,28.7524,59.38,scattered clouds,Imatran Kylpylä
390,Tianpeng,CN,30.9866,103.9393,66.63,light rain,Shuangliu Love Home Business Hotel
391,Tiznit,MA,29.5833,-9.5,67.93,overcast clouds,
392,Evensk,RU,61.95,159.2333,43.93,clear sky,
393,Saryg-Sep,RU,51.5,95.6,49.75,scattered clouds,
394,Sorong,ID,-0.8833,131.25,78.35,broken clouds,waigo splash hotel
396,Boende,CD,-0.2167,20.8667,72.3,overcast clouds,
397,Ust-Kulom,RU,61.6864,53.6902,48.27,overcast clouds,
398,Taltal,CL,-25.4,-70.4833,66.36,few clouds,Residencial Karime
401,Payo,ID,-3.7508,103.6372,72.57,few clouds,Mess keban agung
404,Corinth,GR,37.9407,22.9573,69.76,scattered clouds,Ephira Hotel
405,Roma,US,43.2128,-75.4557,75.06,broken clouds,Wingate By Wyndham Rome
406,Derzhavinsk,KZ,51.1,66.3167,69.13,light rain,Ooo.khim Baza
407,Aubagne,FR,43.2928,5.5707,70.41,scattered clouds,The Originals Le Relais D'Aubagne
408,Praya,CV,14.9215,-23.5087,75.74,few clouds,LT Aparthotel
412,Xinzhou,CN,38.4092,112.7333,59.88,overcast clouds,Shell Hotel - Xinzhou
413,Meulaboh,ID,4.1363,96.1285,78.31,overcast clouds,Kost Pria
414,Malanje,AO,-9.5402,16.340999999999998,65.43,overcast clouds,Malanje Hotel
416,Ozark,US,37.0209,-93.206,66.74,overcast clouds,Americas Best Value Inn Ozark Springfield
420,Nemuro,JP,43.3236,145.575,48.27,overcast clouds,Hotel Nemuro Kaiyoutei
421,Shimoda,JP,34.6667,138.95,66.16,clear sky,Shimoda Tokyu Hotel
422,Poum,NC,-20.2333,164.0167,72.18,broken clouds,Gîte kajeon
424,Pandan,PH,14.0453,124.1694,79.52,overcast clouds,Bonifacio Lodge
425,Emet,TR,39.343,29.2585,47.12,clear sky,Emet Thermal Resort Spa
429,Ketchikan,US,55.3422,-131.6461,54.07,overcast clouds,Snows Cove Lodge
432,Mount Isa,AU,-20.7333,139.5,62.37,broken clouds,ibis Styles Mt Isa Verona
433,Kununurra,AU,-15.7667,128.7333,69.78,overcast clouds,Hotel Kununurra
434,Qaqortoq,GL,60.7167,-46.0333,50.5,overcast clouds,Hotel Qaqortoq
440,Padang,ID,-0.9492,100.3543,78.19,light rain,Mercure Padang
441,Gornopravdinsk,RU,60.05,69.9,40.21,clear sky,Burovik
442,Ballina,AU,-28.8667,153.5667,55.78,overcast clouds,Ramada Hotel & Suites by Wyndham Ballina Byron
443,Noumea,NC,-22.2763,166.4572,66.99,scattered clouds,Hôtel Le Lagon
444,North Platte,US,41.1239,-100.7654,78.03,broken clouds,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
446,Vostok,RU,46.4856,135.8833,48.2,moderate rain,
447,Vao,NC,-22.6667,167.4833,69.44,broken clouds,Hotel Kou-Bugny
448,Darhan,MN,49.4867,105.9228,47.1,scattered clouds,Buudai Hotel
455,College,US,64.8569,-147.8028,62.1,light rain,Pike's Waterfront Lodge
457,Bambanglipuro,ID,-7.95,110.2833,60.6,few clouds,Puri Brata
458,Merauke,ID,-8.4667,140.3333,76.17,overcast clouds,
459,Katangli,RU,51.7102,143.2326,43.45,few clouds,
462,Nhulunbuy,AU,-12.2333,136.7667,70.41,few clouds,East Arnhem Real Estate
464,Folldal,NO,62.1325,9.9968,61.72,scattered clouds,Løkken Fjellgård
465,Waipawa,NZ,-41.4122,175.5153,45.93,clear sky,Tora Coastal Walk
466,Ivanovka,KG,42.8878,75.085,72.03,clear sky,
